time,number,ave_reply,ave_post,discount,big,small
2004/1/1,5,,,0,0,0
2004/2/1,2,,,0,0,0
2004/3/1,0,,,0,0,0
2004/4/1,0,,,0,0,0
2004/5/1,6,,,0,0,0
2004/6/1,5,,,0,0,0
2004/7/1,11,,,0,0,0
2004/8/1,82,,,0,0,0
2004/9/1,20,,,0,0,0
2004/10/1,34,,,0,0,0
2004/11/1,21,,,0,0,0
2004/12/1,28,,,0,0,0
2005/1/1,17,,,0,0,0
2005/2/1,15,,,0,0,0
2005/3/1,19,,,0,0,0
2005/4/1,27,,,0,0,0
2005/5/1,44,,,0,0,0
2005/6/1,28,,,0,0,0
2005/7/1,64,,,0,0,0
2005/8/1,60,,,0,0,0
2005/9/1,38,,,0,0,0
2005/10/1,26,,,0,0,0
2005/11/1,38,,,0,0,0
2005/12/1,55,,,0,0,0
2006/1/1,40,,,0,0,0
2006/2/1,29,,,0,0,0
2006/3/1,56,,,0,0,0
2006/4/1,46,,,0,0,0
2006/5/1,53,,,0,0,0
2006/6/1,56,,,0,0,0
2006/7/1,63,,,0,0,0
2006/8/1,64,,,0,0,0
2006/9/1,38,,,0,0,0
2006/10/1,18,,,0,0,0
2006/11/1,80,,,0,0,0
2006/12/1,91,,,0,0,0
2007/1/1,84,,,0,0,0
2007/2/1,61,,,0,0,0
2007/3/1,57,,,0,0,0
2007/4/1,55,,,0,0,0
2007/5/1,60,,,0,0,0
2007/6/1,82,,,0,0,0
2007/7/1,89,,,0,0,0
2007/8/1,97,,,0,0,0
2007/9/1,90,,,0,0,0
2007/10/1,208,,,0,0,0
2007/11/1,90,,,0,0,0
2007/12/1,78,,,1,1,0
2008/1/1,104,,,0,0,0
2008/2/1,97,,,0,0,0
2008/3/1,72,,,0,0,0
2008/4/1,71,,,0,0,0
2008/5/1,77,,,0,0,0
2008/6/1,56,,,0,0,0
2008/7/1,91,,,0,0,0
2008/8/1,113,,,0,0,0
2008/9/1,64,,,0,0,0
2008/10/1,87,,,0,0,0
2008/11/1,211,,,0,0,0
2008/12/1,114,,,1,1,0
2009/1/1,150,,,0,0,0
2009/2/1,109,,,0,0,0
2009/3/1,96,,,1,0,1
2009/4/1,90,,,0,0,0
2009/5/1,86,,,0,0,0
2009/6/1,66,,,0,0,0
2009/7/1,66,,,0,0,0
2009/8/1,77,,,0,0,0
2009/9/1,51,,,0,0,0
2009/10/1,62,,,0,0,0
2009/11/1,83,,,1,0,1
2009/12/1,70,,,1,1,0
2010/1/1,70,,,0,0,0
2010/2/1,77,,,0,0,0
2010/3/1,68,,,0,0,0
2010/4/1,62,,,0,0,0
2010/5/1,61,,,0,0,0
2010/6/1,48,,,1,1,0
2010/7/1,69,,,0,0,0
2010/8/1,72,,,0,0,0
2010/9/1,49,,,0,0,0
2010/10/1,67,,,1,0,1
2010/11/1,76,,,1,0,1
2010/12/1,81,,,1,1,0
2011/1/1,82,,,0,0,0
2011/2/1,51,,,0,0,0
2011/3/1,67,,,0,0,0
2011/4/1,76,,,0,0,0
2011/5/1,53,,,0,0,0
2011/6/1,73,,,0,1,-1
2011/7/1,116,,,1,0,1
2011/8/1,100,,,0,0,0
2011/9/1,56,,,0,0,0
2011/10/1,108,,,1,0,1
2011/11/1,157,,,1,0,1
2011/12/1,196,,,1,1,0
2012/1/1,136,,,0,0,0
2012/2/1,101,,,0,0,0
2012/3/1,88,,,0,0,0
2012/4/1,107,,,0,0,0
2012/5/1,120,,,0,0,0
2012/6/1,87,,,0,0,0
2012/7/1,127,,,1,1,0
2012/8/1,123,,,0,0,0
2012/9/1,99,,,0,0,0
2012/10/1,101,,,1,0,1
2012/11/1,157,,,1,0,1
2012/12/1,250,,,0,0,0
2013/1/1,159,,,0,0,0
2013/2/1,113,,,0,0,0
2013/3/1,119,,,1,0,1
2013/4/1,161,,,0,0,0
2013/5/1,188,,,0,0,0
2013/6/1,112,,,0,0,0
2013/7/1,189,,,1,1,0
2013/8/1,245,,,1,0,1
2013/9/1,198,,,0,0,0
2013/10/1,296,,,1,0,1
2013/11/1,252,,,1,0,1
2013/12/1,313,,,1,1,0
2014/1/1,286,,,0,0,0
2014/2/1,437,,,1,0,1
2014/3/1,282,,,0,0,0
2014/4/1,215,,,0,0,0
2014/5/1,394,,,0,0,0
2014/6/1,454,,,1,1,0
2014/7/1,446,,,1,0,1
2014/8/1,529,,,1,0,1
2014/9/1,306,,,1,0,1
2014/10/1,639,,,1,0,1
2014/11/1,516,,,1,0,1
2014/12/1,531,,,1,1,0
2015/1/1,555,,,1,0,1
2015/2/1,522,,,1,0,1
2015/3/1,567,,,1,0,1
2015/4/1,542,,,1,0,1
2015/5/1,452,,,0,0,0
2015/6/1,727,,,1,1,0
2015/7/1,517,,,0,0,0
2015/8/1,760,,,0,0,0
2015/9/1,762,,,0,0,0
2015/10/1,832,,,1,0,1
2015/11/1,1384,,,1,0,1
2015/12/1,1455,,,1,1,0
2016/1/1,1306,,,0,0,0
2016/2/1,1849,,,1,1,0
2016/3/1,1231,,,0,0,0
2016/4/1,707,,,1,0,1
2016/5/1,651,,,0,0,0
2016/6/1,655,,,1,1,0
2016/7/1,886,,,1,0,1
2016/8/1,901,,,0,0,0
2016/9/1,812,,,0,0,0
2016/10/1,740,,,1,0,1
2016/11/1,1112,,,1,0,1
2016/12/1,1190,,,1,1,0
2017/1/1,1247,,,0,0,0
2017/2/1,1011,,,0,0,0
2017/3/1,1007,,,0,0,0
2017/4/1,974,,,1,0,1
2017/5/1,824,,,0,0,0
2017/6/1,1208,,,1,1,0
2017/7/1,1338,,,0,0,0
2017/8/1,1563,,,0,0,0
2017/9/1,856,,,0,0,0
2017/10/1,1149,,,1,0,1
2017/11/1,1265,,,1,0,1
2017/12/1,2628,,,1,1,0
2018/1/1,1236,,,0,0,0
2018/2/1,1125,,,1,1,0
2018/3/1,962,,,1,0,1
2018/4/1,628,,,1,0,1
2018/5/1,660,,,1,0,1
2018/6/1,1113,,,1,0,1
2018/7/1,797,,,0,0,0
2018/8/1,1288,,,0,0,0
2018/9/1,650,,,0,0,0
2018/10/1,688,,,1,0,1
2018/11/1,634,,,1,0,1
2018/12/1,840,,,1,1,0
2019/1/1,685,,,0,0,0
2019/2/1,851,,,1,1,0
2019/3/1,777,,,1,0,1
2019/4/1,806,,,1,0,1
2019/5/1,716,,,1,0,1
2019/6/1,941,,,1,1,0
2019/7/1,811,,,1,0,1
2019/8/1,668,,,0,0,0
2019/9/1,646,,,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
